city,mae_persist,mae_peer
Amsterdam,0.34837202239038845,0.4064517435560429
Barcelona,0.4954700757410005,0.41862605807612624
London,0.35840122080933157,0.38346273993489904
Milan,0.544975622238914,0.4442715060165893
Paris,0.6535664679219416,0.5850059452696419
Vienna,0.41394580967354005,0.39602133253376204
