hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect
00014379887908bc,Paris,breakfast,2017Q1,2016Q4,0.0,2,0,6,9
00014379887908bc,Paris,breakfast,2017Q2,2017Q1,0.0,0,2,7,9
00014379887908bc,Paris,breakfast,2017Q3,2017Q2,0.0,0,0,8,9
00014379887908bc,Paris,cleanliness,2015Q4,2015Q3,0.0,0,0,1,9
00014379887908bc,Paris,cleanliness,2016Q1,2015Q4,0.0,0,0,2,9
00014379887908bc,Paris,cleanliness,2016Q2,2016Q1,0.0,0,0,3,9
00014379887908bc,Paris,cleanliness,2016Q3,2016Q2,0.0,0,0,4,9
00014379887908bc,Paris,cleanliness,2016Q4,2016Q3,0.0,0,0,5,9
00014379887908bc,Paris,cleanliness,2017Q1,2016Q4,0.09090909090909083,1,0,6,9
00014379887908bc,Paris,cleanliness,2017Q2,2017Q1,0.0,1,1,7,9
00014379887908bc,Paris,cleanliness,2017Q3,2017Q2,-0.09090909090909083,0,1,8,9
00014379887908bc,Paris,location,2015Q4,2015Q3,-0.0641025641025641,2,3,1,9
00014379887908bc,Paris,location,2016Q1,2015Q4,-0.16666666666666674,0,2,2,9
00014379887908bc,Paris,location,2016Q2,2016Q1,0.23076923076923084,3,0,3,9
00014379887908bc,Paris,location,2016Q3,2016Q2,0.0,3,3,4,9
00014379887908bc,Paris,location,2016Q4,2016Q3,-0.0641025641025641,2,3,5,9
00014379887908bc,Paris,location,2017Q1,2016Q4,0.0,2,2,6,9
00014379887908bc,Paris,location,2017Q2,2017Q1,-0.16666666666666674,2,2,7,9
00014379887908bc,Paris,location,2017Q3,2017Q2,0.09090909090909083,1,2,8,9
00014379887908bc,Paris,noise,2015Q4,2015Q3,0.0,0,0,1,9
00014379887908bc,Paris,noise,2016Q1,2015Q4,0.0,0,0,2,9
00014379887908bc,Paris,noise,2016Q2,2016Q1,0.0,0,0,3,9
00014379887908bc,Paris,noise,2016Q3,2016Q2,0.09090909090909083,1,0,4,9
00014379887908bc,Paris,noise,2016Q4,2016Q3,-0.09090909090909083,2,1,5,9
00014379887908bc,Paris,noise,2017Q1,2016Q4,0.09090909090909083,1,2,6,9
00014379887908bc,Paris,noise,2017Q2,2017Q1,-0.09090909090909083,0,1,7,9
00014379887908bc,Paris,noise,2017Q3,2017Q2,0.09090909090909083,1,0,8,9
00014379887908bc,Paris,room,2015Q4,2015Q3,-0.1428571428571428,2,4,1,9
00014379887908bc,Paris,room,2016Q1,2015Q4,-0.07692307692307687,3,2,2,9
00014379887908bc,Paris,room,2016Q2,2016Q1,0.0,3,3,3,9
00014379887908bc,Paris,room,2016Q3,2016Q2,-0.06593406593406603,4,3,4,9
00014379887908bc,Paris,room,2016Q4,2016Q3,0.20952380952380956,5,4,5,9
00014379887908bc,Paris,room,2017Q1,2016Q4,0.1333333333333333,5,5,6,9
00014379887908bc,Paris,room,2017Q2,2017Q1,-0.05714285714285716,4,5,7,9
00014379887908bc,Paris,room,2017Q3,2017Q2,-0.051948051948051965,1,4,8,9
00014379887908bc,Paris,service,2015Q4,2015Q3,-0.0641025641025641,2,3,1,9
00014379887908bc,Paris,service,2016Q1,2015Q4,0.0,2,2,2,9
00014379887908bc,Paris,service,2016Q2,2016Q1,0.009803921568627416,7,2,3,9
00014379887908bc,Paris,service,2016Q3,2016Q2,0.0235294117647058,5,7,4,9
00014379887908bc,Paris,service,2016Q4,2016Q3,-0.033333333333333215,2,5,5,9
00014379887908bc,Paris,service,2017Q1,2016Q4,-0.16666666666666674,2,2,6,9
00014379887908bc,Paris,service,2017Q2,2017Q1,0.07692307692307687,3,2,7,9
00014379887908bc,Paris,service,2017Q3,2017Q2,-0.07692307692307687,0,3,8,9
00014379887908bc,Paris,value,2015Q4,2015Q3,0.0,0,0,1,9
