hotel_id,n_periods
247bf4d58a5fc886,9
2488f691ef726b99,8
24a3da66397bb81f,9
24c2cf3e075e9c43,9
24c928a1fd08aeb0,9
24db62ba9669d0a8,9
24e58d822a113f96,9
24ec390d58a2b6cb,9
25705823d34c89e7,8
25817e7cd808869a,8
25f2f8a2fbc75ce5,9
2603d027cc2ed164,9
261bc44d54548214,9
2647f670656f5fe2,9
26512f52fd227f0a,9
265d34b6535c5f7e,3
267535a922c9b30e,9
269072a57a19e1d3,9
26f63f644e5a6c6a,9
2731a27ab02609f4,9
274b3581685355dd,9
2765ba089be8f2b2,9
2790258a6dd27887,9
27acde981655b41b,9
27e10ea8cbfa4679,9
27f2d73615937f54,9
27fe8054ad28d624,6
286322206c18c649,9
288ce21bd0aa7a15,9
2899350320f70d70,9
289995a63e568a6b,9
28c44dd6f3da2de4,9
2999b55804005401,9
29b55710d0782c22,9
29b6cf85154de954,9
2a02710ad879398e,9
2a08b7c8b18c4086,8
2a6a334d6d8eb57c,9
2a8164df75938ca1,9
2a8a9cad0e737cc9,9
2ad1a03a62e8b65c,9
2b00594a4a57f6f4,9
2b010d4dc7168138,6
2b0acaa3f7ad3af5,6
2b8ce1f02c767efe,9
2bac0df8818cf79b,9
2c3f4e520b3ef09c,9
2ca2e45970c636e4,9
2caadf3a2d37291e,9
2cac1261287610c2,9
2d047d73353de59b,9
2d2ca76bb3369702,9
2dd158e8a8dc9906,9
2df4ea8af11fa979,6
2e57ccf12801ce06,9
2e660ba7a5f1baad,9
2e6b331fc0c8973a,8
2eb4cca2c8143022,9
2ec6d3fbf5a3f2e5,9
2ecd5e33821b3b23,9
2ee3140bf84940f8,9
2f6411119addffe5,9
2f8232788e0a8903,9
2fb4217921b8ab19,9
2fd476aeb3a08365,7
2febd3170d1de7ce,9
303b2eec9c790940,9
3049f6062044bac9,8
30696ea3a154024f,9
3070a80759a11388,9
307d13097f262efe,9
30f78c91fa3203d0,9
3117cacbda28544c,9
311a1c0700dfc144,9
312cb161f5115764,9
31414672bbc25afd,9
315e2dd32d6742ed,9
31bd6ec22df35861,9
31c04d5e58864658,9
31c0e1d199c95137,9
31e7ee406b7628d7,9
32168f5a4c50561d,9
321c08039a3ce2bb,9
32c66202fd9a80e3,9
331515d0b5d97153,9
33283afeefbd4d6f,9
336c421c329e9de1,9
337447ecda00ecfe,9
337b73e81602c596,9
34343e6e5670ef74,9
343f143ee8b98fd9,9
348f955edceadb77,9
34c7ea6e7a0cdd65,9
34ce2e5a07dd00c2,7
3547af4c56c7bf9e,9
35c377b6e95f0cc2,9
35f3e15097c7e70a,9
36027c950fb3a82e,9
361b926ba3e6c43b,9
3635cd22af3c1a5d,9
365726ae14ee7e6a,9
369077c44cbb25cd,9
36b227b955651f4b,7
36c3e51bd45c044d,9
36c98c8cba93e2f9,9
36cd5862c2d1fafd,8
3728272126c92bb9,9
3731f2d232194aeb,9
373dba71bd6c3719,9
37737fc7e255a82f,9
37b750bae938d82a,9
37bdad970d57b156,9
37c3898c34c7a9e6,9
37f2882a0007f323,9
381abf072f6d1d8b,9
382507af54e69ca2,9
386fedd969e33f79,9
389a18e5d76b5875,9
38a88334f9ee7a1c,9
38bb68af0db6c5ec,9
38beefc05895499f,9
390b04e08b2bccab,9
39137be41efbe6c1,9
39182d14c3f8907e,9
39349c419fbfedae,9
393c1b80bfe8d937,9
39776581bfb7ed4d,9
39fd5416adb53c55,8
3a1759f94c307a4b,9
3a22e437c8ab8d1b,8
3a2c96b7921de1d6,9
3a9e18b2a0519f45,9
3aab64253445c23b,9
3acfed91a3017b7d,4
3ad0790fcf7a79d0,5
3ad22d41fcb22877,7
3b0571b550ead9e0,9
3b1f4e2ecdd1b8e7,9
3b3ee3af176e445e,9
3b4dc693e181c041,9
3b5b890677b3168f,8
3b7957ad000cf9ea,9
3c5fcafeea9402f1,9
3c89d62ed98df3f3,9
3d302dc62fa27a5d,9
3d30ef2d8c74f0d2,9
3d45112dee7bbb03,9
3d8704e44291e163,9
3dce46505dc61dc6,9
3dd8e0650b6e2167,9
3e2f70fb86c45cb8,9
3e321d9525370616,9
3e600131aa15e1f1,9
3e8752c9c1779ccc,7
3eb90de8f9b55d91,9
3ec76141c6c3805f,9
3efcf19efe38a02b,9
3f045697bab0839f,9
3f0d81e40b8a31da,9
3f4d6854221f8735,9
3f634b936abfde6b,9
3fd1964fc91858da,9
40043710a32d0cf2,9
405d55e6a228bde1,9
4068d9528ad6b124,7
40cf3c3da0989ca8,9
4118d622c9691f3c,9
41271a68a168447f,7
41514dd596a344af,9
41592bf2895d61c3,9
4184d9dfb9ee0ee4,9
41f7d262ed192ba9,9
424a7f56f30e82b9,9
42566608bd534075,9
425dd74dbf72decd,9
42d8985340a961d4,9
42dcc2b5b242d30c,9
436e37dd59f9a22d,9
43955c78a5e51a55,9
43acb8108fdd96cc,9
43f0b9c19bca8c93,9
44828c96327c02f9,9
449c09a7ad8e8dc3,9
44daf773e97abf4b,9
456cecccb1484144,9
4573dc60bc03b784,9
45b00115ea187a5c,8
45bcd9e6bca3ffb2,8
45e7ddc52bdbcc74,9
4629d540e64e47bc,9
466ea58c8df37fa4,9
46713edc2e417f0f,9
46739f2ec366167f,9
4693de915b840933,9
469f2d453f7e048d,9
46aa2b032a80b718,9
46bf793bf071dee5,9
470d258d69282802,9
475cf7116566e27b,9
478251fd71fceb3b,9
478ccfd557f9432a,9
47929cbc89131f67,9
47be0789928a0647,9
47d1641737451b42,9
480b968aebb182a7,9
484ea60e102a55a2,9
486405101a831846,9
4870af97b7a4691d,2
48b35b3a4754d454,9
48cb42045f9f1c39,9
4905f8d3a31578d0,9
491445c4608a873a,9
49b94dfb3100612f,6
49c67f2f9e708fb0,9
49ed350786cc6026,9
4a05079bdd0b6269,9
4a3b6981515da34e,9
4a532074d82c63f7,9
4a5ab28385ffdb8c,9
4a69d6275825d030,9
4a71b0081e191716,9
4a8cb2d2019ef562,9
4a9485ac06cec896,9
4aabac7daa29f4bd,9
4ada0c26db4b3380,9
4aea431c0de9d173,9
4af7b06dc7a26ec8,9
4afe0e798095c178,9
4b04b6b18f0fcd76,9
4b1e50868a5ca414,9
4b1fa3b404b0e27b,9
4b2369a15c4dd346,9
4b2fd0f37b859309,9
4b4985d919f7f4bb,9
4b60065d00dd8317,9
4b63e96ffacb6808,7
4b8c4f10522ace0e,9
4b942e7e6c024782,9
4bb352406ea3983f,9
4bb5dc3f74d5a58d,9
4bcdf839d1dcf4de,9
4c14cf38d2d88351,9
4c4fab25b5c198e8,8
4c82e9eb246629dd,9
4cacd7bc671eeb46,9
4d1aedb541ee47ac,9
4d1fa033cebf6037,9
4d20d4729e8b7cb2,9
4d421dab63beec31,9
4d545c6325aa0f26,9
4d576a48b5adc360,8
4d5d6e97c0d60450,9
4db6c06bc2264062,9
4dbbd923ef8d4b9e,9
4dbf5edc88604e67,9
4dc934a74b9ef558,9
