hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect,pre_ok_index,post_ok_index,pre_present,post_present,has_2pre_2post,peer_count,improving_peer_count,peer_exposure,mean_peer_delta,max_peer_delta,peer_set_available
00b19bc836502cb6,Amsterdam,noise,2016Q1,2015Q4,0.40476190476190477,11,2,2,9,True,True,2,2,True,8,2,0.25,0.056055236473193146,0.4396284829721362,True
00b19bc836502cb6,Amsterdam,service,2017Q1,2016Q4,0.1868913857677903,79,50,6,9,True,True,2,2,True,10,1,0.1,-0.020860348999786726,0.20370370370370372,True
00b19bc836502cb6,Amsterdam,value,2016Q4,2016Q3,0.17307692307692313,16,14,5,9,True,True,2,2,True,10,3,0.3,0.05089692929416998,0.4272445820433437,True
00c7ffcefee670b1,London,breakfast,2016Q1,2015Q4,0.18285714285714283,18,15,2,9,True,True,2,2,True,9,1,0.1111111111111111,-0.08405272639813034,0.16666666666666674,True
00c7ffcefee670b1,London,breakfast,2016Q2,2016Q1,0.28021978021978033,42,18,3,9,True,True,2,2,True,9,1,0.1111111111111111,-0.04414141843806959,0.20003007971123488,True
00c7ffcefee670b1,London,breakfast,2017Q1,2016Q4,0.44000000000000006,40,40,6,9,True,True,2,2,True,9,1,0.1111111111111111,-0.07384997899703782,0.7460317460317459,True
00c7ffcefee670b1,London,noise,2017Q1,2016Q4,0.34647550776583025,17,21,6,9,True,True,2,2,True,9,0,0.0,-0.1234923170984552,0.11739130434782608,True
00c7ffcefee670b1,London,room,2016Q4,2016Q3,0.28211284513805523,109,88,5,9,True,True,2,2,True,9,2,0.2222222222222222,0.0542390568130818,0.2974358974358975,True
00c7ffcefee670b1,London,value,2016Q1,2015Q4,0.7115384615384616,14,16,2,9,True,True,2,2,True,9,0,0.0,-0.04660228321805426,0.04385964912280704,True
00c7ffcefee670b1,London,value,2016Q4,2016Q3,0.17887931034482762,22,19,5,9,True,True,2,2,True,9,2,0.2222222222222222,-0.018264552969959102,0.4303030303030303,True
00dcc48455869c47,Paris,breakfast,2016Q4,2016Q3,0.3466666666666667,5,15,5,9,True,True,2,2,True,8,0,0.0,-0.12774601606123343,0.051587301587301515,True
00dcc48455869c47,Paris,cleanliness,2016Q3,2016Q2,0.24242424242424243,14,1,4,9,True,True,2,2,True,9,3,0.3333333333333333,0.15345315694128903,0.7485380116959065,True
00dcc48455869c47,Paris,location,2016Q3,2016Q2,0.3897435897435897,29,5,4,9,True,True,2,2,True,9,3,0.3333333333333333,0.01433803363627928,0.19736842105263164,True
00dcc48455869c47,Paris,room,2017Q1,2016Q4,0.2857142857142857,11,11,6,9,True,True,2,2,True,8,0,0.0,-0.0885627453322466,0.050000000000000044,True
00dcc48455869c47,Paris,service,2017Q1,2016Q4,0.3088235294117647,6,7,6,9,True,True,2,2,True,8,1,0.125,0.052051384288226366,0.4491228070175439,True
00f99d732f95a84a,Paris,breakfast,2016Q3,2016Q2,0.3290043290043291,11,1,4,9,True,True,2,2,True,9,0,0.0,-0.03627597892303774,0.08556149732620322,True
00f99d732f95a84a,Paris,service,2016Q3,2016Q2,0.20606060606060606,12,5,4,9,True,True,2,2,True,9,2,0.2222222222222222,0.005161113564371483,0.16923076923076907,True
