hotel_url,hotel_name,latitude,longitude,coord_is_fake,star_rating,star_type,address,city_raw,property_type,price,price_date,price_currency,review_score,review_count,html_file,scraped_at,status
https://www.booking.com/hotel/be/au-central-alle-sur-semois.en-gb.html,Au Central,49.84212,4.97268,0,,,,,,,,,,,be_au-central-alle-sur-semois.html.gz,2026-06-17T03:51:29+00:00,partial
https://www.booking.com/hotel/be/la-mer-et-bella.en-gb.html,La mer et Bella,51.2258605957031,2.91950941085815,0,,,,,,,,,,,be_la-mer-et-bella.html.gz,2026-06-17T03:52:36+00:00,partial
https://www.booking.com/hotel/be/baelskaai-harbor-apartment.en-gb.html,Baelskaai Harbor Apartment,51.2258605957031,2.91950941085815,0,,,,,,,,,,,be_baelskaai-harbor-apartment.html.gz,2026-06-17T03:53:43+00:00,partial
https://www.booking.com/hotel/be/gites-la-vue-sur-meuse.en-gb.html,Gîtes La vue sur Meuse,50.2648226,4.9055197,0,3,quality,"59Avenue Franchet d'Esperey, 5500 Dinant, Belgium, 59Avenue Franchet d'Esperey, 5500, Belgium",59Avenue Franchet d'Esperey,Hotel,,,,9.2,60,be_gites-la-vue-sur-meuse.html.gz,2026-06-17T03:54:48+00:00,partial
https://www.booking.com/hotel/be/la-cabane-de-l-39-atelier.en-gb.html,La cabane de l'Atelier,50.370017,5.538117,0,3,quality,"numéro 31, Lagelire, 6941 Bomal, Belgium, numéro 31, Lagelire, 6941, Belgium","numéro 31, Lagelire",Hotel,,,,8.8,117,be_la-cabane-de-l-39-atelier.html.gz,2026-06-17T03:55:53+00:00,partial
https://www.booking.com/hotel/be/appartement-chez-agnes-schaerbeek1.en-gb.html,Appartement Chez Agnes,50.855833,4.3891357,0,4,quality,"61 Rue Auguste Lambiotte, Schaarbeek / Schaerbeek, 1030 Brussels, Belgium, 61 Rue Auguste Lambiotte, 1030, Belgium",61 Rue Auguste Lambiotte,Hotel,,,,8.8,120,be_appartement-chez-agnes-schaerbeek1.html.gz,2026-06-17T03:56:57+00:00,partial
https://www.booking.com/hotel/be/hof-ter-langeleye-planke-damme.en-gb.html,Hof ter Langeleye Planke,51.2871788510174,3.355824102624524,0,3,quality,"Kaleshoek 3, 8340 Damme, Belgium, Kaleshoek 3, 8340, Belgium",Kaleshoek 3,Hotel,,,,7.2,22,be_hof-ter-langeleye-planke-damme.html.gz,2026-06-17T03:58:01+00:00,partial
https://www.booking.com/hotel/be/la-cabane-ofuro.en-gb.html,La Cabane Ofuro,50.216767,5.003737,0,,,"Lavis 4, 5561 Celles, Belgium, Lavis 4, 5561, Belgium",Lavis 4,Hotel,260,2026-07-15,EUR,8.1,13,be_la-cabane-ofuro.html.gz,2026-06-17T03:58:26+00:00,success
https://www.booking.com/hotel/be/la-chrysalide.en-gb.html,La Chrysalide,49.6738185,5.600243599999999,0,3,official,"rue du Moulin, 30, 6740 Étalle, Belgium, rue du Moulin, 30, 6740, Belgium","rue du Moulin, 30",Hotel,100,2026-07-15,EUR,8.6,172,be_la-chrysalide.html.gz,2026-06-17T03:58:52+00:00,success
https://www.booking.com/hotel/be/the-livorno-ixelles.en-gb.html,The Livorno,50.8273228,4.36151310000002,0,4,quality,"97A Rue de Livourne, Elsene / Ixelles, 1050 Brussels, Belgium, 97A Rue de Livourne, 1050, Belgium",97A Rue de Livourne,Hotel,390,2026-07-15,EUR,9.3,269,be_the-livorno-ixelles.html.gz,2026-06-17T03:59:17+00:00,success
https://www.booking.com/hotel/be/le-rusticka.en-gb.html,Le Rusticka,51.0991442,2.5914341,0,3,quality,"9 Visserslaan, 8660 De Panne, Belgium, 9 Visserslaan, 8660, Belgium",9 Visserslaan,Hotel,120,2026-07-29,EUR,7.9,183,be_le-rusticka.html.gz,2026-06-17T04:00:20+00:00,success
https://www.booking.com/hotel/be/autrefois-chez-lina.en-gb.html,Autrefois chez Lina,50.252704,4.91743969999993,0,3,quality,"68 Rue Alexandre Daoust, 5500 Dinant, Belgium, 68 Rue Alexandre Daoust, 5500, Belgium",68 Rue Alexandre Daoust,Hotel,,,,9.4,100,be_autrefois-chez-lina.html.gz,2026-06-17T04:01:22+00:00,partial
https://www.booking.com/hotel/be/la-chaumiere-asse.en-gb.html,Hotel La Chaumiere,50.8955293,4.239919500000042,0,3,official,"Brusselsesteenweg 400, 1730 Asse, Belgium, Brusselsesteenweg 400, 1730, Belgium",Brusselsesteenweg 400,Hotel,65,2026-07-15,EUR,6.4,429,be_la-chaumiere-asse.html.gz,2026-06-17T04:01:49+00:00,success
https://www.booking.com/hotel/be/mirabeau-bruxelles.en-gb.html,Hotel Mirabeau,,,1,,,,,,,,,,,be_mirabeau-bruxelles.html.gz,2026-06-17T04:02:15+00:00,failed
https://www.booking.com/hotel/be/adomagent.en-gb.html,Hotel Adoma,51.03384130378315,3.7146610021591187,0,3,official,"Sint Denijslaan 19, Stationsbuurt-Zuid, 9000 Ghent, Belgium, Sint Denijslaan 19, 9000, Belgium",Sint Denijslaan 19,Hotel,124,2026-07-15,EUR,7.8,1229,be_adomagent.html.gz,2026-06-17T04:02:41+00:00,success
https://www.booking.com/hotel/be/l-39-ardenne-buissoniere.en-gb.html,l'Ardenne buissonière,50.023362757087334,5.691264551967606,0,3,quality,"Hemroulle, 6600 Bastogne, Belgium, Hemroulle, 6600, Belgium",Hemroulle,Hotel,,,,8.1,53,be_l-39-ardenne-buissoniere.html.gz,2026-06-17T04:03:46+00:00,partial
https://www.booking.com/hotel/be/casa-victoria.en-gb.html,CASA Victoria,50.956139,5.340083,0,4,quality,"Vilstraat 6, 3511 Kuringen, Belgium, Vilstraat 6, 3511, Belgium",Vilstraat 6,Hotel,100,2026-07-29,EUR,8.6,110,be_casa-victoria.html.gz,2026-06-17T04:04:51+00:00,success
