hotel_url,hotel_name,scraped_at,reason
https://www.booking.com/hotel/be/coco-mat-residence.en-gb.html,Smartflats Design - Antwerp Central,2026-06-17T04:37:52+00:00,重试耗尽
https://www.booking.com/hotel/be/maison-ruthier.en-gb.html,B&B Maison Ruthier,2026-06-17T04:38:27+00:00,重试耗尽
https://www.booking.com/hotel/be/maison-d-39-hotes-quot-cerf-39-titude-quot.en-gb.html,Maison d'Hôtes Cerf'titude,2026-06-17T04:39:03+00:00,重试耗尽
https://www.booking.com/hotel/be/albergo.en-gb.html,Hotel Albergo,2026-06-17T04:39:39+00:00,重试耗尽
https://www.booking.com/hotel/be/le-briquemont.en-gb.html,B&B Le Briquemont,2026-06-17T04:40:20+00:00,重试耗尽
https://www.booking.com/hotel/be/il-etait-une-fois.en-gb.html,Il était une fois,2026-06-17T04:41:16+00:00,重试耗尽
https://www.booking.com/hotel/be/la-mode-la-mode.en-gb.html,Les lofts de Styliste,2026-06-17T04:42:06+00:00,重试耗尽
https://www.booking.com/hotel/be/b-h-c.en-gb.html,Hotel Continental Gare du Midi,2026-06-17T04:43:00+00:00,重试耗尽
https://www.booking.com/hotel/be/hauwaertshoeve.en-gb.html,Hauwaertshoeve,2026-06-17T04:43:50+00:00,重试耗尽
https://www.booking.com/hotel/be/plumes-et-pinceaux.en-gb.html,Plumes et Pinceaux,2026-06-17T04:44:19+00:00,重试耗尽
https://www.booking.com/hotel/be/le-relais-du-moulin-gedinne.en-gb.html,Le Relais du Moulin,2026-06-17T04:46:46+00:00,重试耗尽
https://www.booking.com/hotel/be/villa-des-roses-hasselt.en-gb.html,B&B Villa des Roses,2026-06-17T04:48:49+00:00,重试耗尽
https://www.booking.com/hotel/be/de-laurier.en-gb.html,Residentie De Laurier,2026-06-17T04:49:59+00:00,重试耗尽
https://www.booking.com/hotel/be/brussel-lounge.en-gb.html,Diamant Suites Brussels EU,2026-06-17T04:51:42+00:00,重试耗尽
https://www.booking.com/hotel/be/au-coq-en-pate.en-gb.html,B&B Au Coq en Pate,2026-06-17T04:53:23+00:00,重试耗尽
https://www.booking.com/hotel/be/quartierlatin.en-gb.html,Hotel Quartier Latin,2026-06-17T04:55:06+00:00,重试耗尽
https://www.booking.com/hotel/be/europe.en-gb.html,Hotel Europe,2026-06-17T04:56:47+00:00,重试耗尽
https://www.booking.com/hotel/be/huyze-ter-wilgen.en-gb.html,Huyze ter Wilgen,2026-06-17T04:58:33+00:00,重试耗尽
https://www.booking.com/hotel/be/vakantiehuisje-de-vuurtoren.en-gb.html,Vakantiehuisje De Vuurtoren,2026-06-17T05:00:16+00:00,重试耗尽
https://www.booking.com/hotel/be/chateau-charles-pepinster.en-gb.html,Château Charles,2026-06-17T05:02:29+00:00,重试耗尽
https://www.booking.com/hotel/be/b-amp-b-oase-braunlauf.en-gb.html,B&B Oase,2026-06-17T05:04:51+00:00,重试耗尽
https://www.booking.com/hotel/be/la-boheme-koksijde.en-gb.html,La Bohème Koksijde,2026-06-17T05:05:21+00:00,重试耗尽
https://www.booking.com/hotel/be/bnb-intermezzo.en-gb.html,Spacious apartment - B&B InterMezzo for business & leisure,2026-06-17T05:05:50+00:00,重试耗尽
https://www.booking.com/hotel/be/le-petit-gite-de-durbuy.en-gb.html,Comme à la Ferme,2026-06-17T05:06:27+00:00,重试耗尽
https://www.booking.com/hotel/be/logis-hostellerie-de-la-claire-fontaine.en-gb.html,Logis Hostellerie De La Claire Fontaine,2026-06-17T05:07:03+00:00,重试耗尽
https://www.booking.com/hotel/be/sauveniere-2.en-gb.html,Sauveniere 2,2026-06-17T05:07:47+00:00,重试耗尽
https://www.booking.com/hotel/be/white-princess-koksijde.en-gb.html,White Princess-Yzzis,2026-06-17T05:08:47+00:00,重试耗尽
